id;name;price;credits;start_date;end_date;revise_count;cancel_count
546c4bc6-8b4f-496e-99a6-83fe47a98543;since landscape ew;20531;30973;2023-11-16T00:49:05;2023-11-16T16:13:51;26137;23889
0cf7ea09-174d-4ee3-a4fc-7297021755fc;ouch;10262;3238;2023-11-16T15:23:50;2023-11-16T09:57:53;20304;8222
5f211f75-b278-4c9c-bf81-865bb6731390;wretched disgusting;26540;13372;2023-11-15T21:55:26;2023-11-16T06:38:49;26068;9064
a6e8f6d2-a50d-4c01-899c-06e683be0803;tough joyfully logo;2563;29984;2023-11-16T08:02:17;2023-11-16T15:09:27;4329;14483
3ea23764-96ba-4a87-b5c1-7e6f3fa7846a;before voluntarily;17603;15544;2023-11-16T19:49:04;2023-11-16T02:25:07;20767;4743
2b2f9b48-54f3-4d3d-bbd1-e0281fff0111;perfect skunk fast;9519;13861;2023-11-16T19:58:40;2023-11-16T12:57:38;2857;23998
61ad138d-38de-4c04-a96e-794face6e612;semicircle gadzooks;11683;12054;2023-11-16T17:25:23;2023-11-15T22:57:45;17831;25201
9e81e6b3-a542-48a8-bacb-2decd7953875;limo soft;21916;19555;2023-11-16T09:59:58;2023-11-16T00:19:44;30864;29782
3b2760dc-84b5-4f93-9a47-293703bb4a0f;than colorfully;30927;24532;2023-11-16T06:14:22;2023-11-16T18:53:45;27358;2550
6bde2586-d90d-4c7f-a5b3-bca0972743ea;cooperative;28303;25811;2023-11-16T18:54:42;2023-11-16T15:25:39;23645;19508
